date,name,visitors,store,hfb_no,hfb_name,transaction_date,market_area_no,created_net_quantity,created_sales_net_amount_euro,unique_transaction_identifier,avg_time,visitors_daily
2025-05-01,HFB06,4182,445,06,Bathroom & Water,2025-05-01,445,675.000000000,10520.579305600,384,2.53,5381
2025-05-01,HFB18,4143,445,18,Home organisation,2025-05-01,445,4293.000000000,12784.066989120,1256,3.42,5381
2025-05-01,HFB05,2853,445,05,Beds & Mattresses,2025-05-01,445,173.000000000,16489.831433600,82,4.67,5381
2025-05-01,HFB13,4106,445,13,Rugs,2025-05-01,445,310.000000000,8953.077145600,230,2.62,5381
2025-05-01,HFB01,3458,445,01,Living room seating,2025-05-01,445,157.000000000,16521.126860000,97,7.17,5381
2025-05-01,HFB07,2817,445,07,Kitchen,2025-05-01,445,1101.370000000,20176.767646560,216,5.66,5381
2025-05-01,HFB12,4097,445,12,Home textiles,2025-05-01,445,1874.000000000,16345.206147200,461,3.09,5381
2025-05-01,HFB03,2790,445,03,Workspaces,2025-05-01,445,208.000000000,8306.778345600,99,2.24,5381
2025-05-01,HFB14,3241,445,14,Cooking,2025-05-01,445,3371.000000000,12889.055043200,954,2.31,5381
2025-05-01,HFB11,4163,445,11,Bed and bath textiles,2025-05-01,445,1913.000000000,19433.676953600,626,2.27,5381
2025-05-01,HFB09,2733,445,09,Children's IKEA,2025-05-01,445,1087.000000000,8429.338444800,388,6.21,5381
2025-05-01,HFB16,2820,445,16,Decoration,2025-05-01,445,3540.000000000,16576.198800000,945,3.81,5381
2025-05-01,HFB02,3364,445,02,Store and organise furniture,2025-05-01,445,722.000000000,16756.434240000,180,5.33,5381
2025-05-01,HFB15,3711,445,15,Eating,2025-05-01,445,3969.000000000,11042.788736000,742,1.86,5381
2025-05-01,HFB04,2891,445,04,Bedroom furniture,2025-05-01,445,1656.000000000,33655.381916800,234,4.77,5381
2025-05-01,HFB08,2797,445,08,Dining,2025-05-01,445,111.000000000,4506.177289600,37,2.14,5381
2025-05-01,HFB10,4250,445,10,Lighting & Home electronics,2025-05-01,445,1500.000000000,15600.655365120,506,3.0,5381
2025-05-02,HFB05,3980,445,05,Beds & Mattresses,2025-05-02,445,387.000000000,35349.595052800,181,3.99,8022
2025-05-02,HFB04,4274,445,04,Bedroom furniture,2025-05-02,445,1733.000000000,33667.179145600,321,4.79,8022
2025-05-02,HFB08,4060,445,08,Dining,2025-05-02,445,189.000000000,10571.991920000,74,2.24,8022
2025-05-02,HFB12,6001,445,12,Home textiles,2025-05-02,445,2572.000000000,22180.319414400,617,2.48,8022
2025-05-02,HFB03,3861,445,03,Workspaces,2025-05-02,445,262.000000000,10457.005350400,119,2.04,8022
2025-05-02,HFB13,6067,445,13,Rugs,2025-05-02,445,350.000000000,10207.515808000,269,1.83,8022
2025-05-02,HFB11,6250,445,11,Bed and bath textiles,2025-05-02,445,2716.000000000,26985.359833600,831,2.34,8022
2025-05-02,HFB18,6253,445,18,Home organisation,2025-05-02,445,5885.000000000,17726.925620880,1737,3.88,8022
2025-05-02,HFB01,4894,445,01,Living room seating,2025-05-02,445,230.000000000,23106.401875200,125,6.63,8022
2025-05-02,HFB07,4144,445,07,Kitchen,2025-05-02,445,1664.950000000,38403.664557440,298,6.83,8022
2025-05-02,HFB14,4785,445,14,Cooking,2025-05-02,445,4457.000000000,17369.234736000,1277,2.08,8022
2025-05-02,HFB10,6233,445,10,Lighting & Home electronics,2025-05-02,445,2268.000000000,22420.531383040,712,3.27,8022
2025-05-02,HFB16,4396,445,16,Decoration,2025-05-02,445,4609.000000000,22818.026991760,1232,4.34,8022
2025-05-02,HFB02,4772,445,02,Store and organise furniture,2025-05-02,445,838.000000000,20264.143603200,229,4.66,8022
2025-05-02,HFB15,5296,445,15,Eating,2025-05-02,445,4752.000000000,14420.582937600,967,2.04,8022
2025-05-02,HFB06,6407,445,06,Bathroom & Water,2025-05-02,445,957.000000000,11513.949664000,541,2.35,8022
2025-05-02,HFB09,4779,445,09,Children's IKEA,2025-05-02,445,1309.000000000,10750.552444800,504,7.52,8022
2025-05-03,HFB14,5719,445,14,Cooking,2025-05-03,445,5308.000000000,20865.729449600,1568,2.12,9775
2025-05-03,HFB09,5743,445,09,Children's IKEA,2025-05-03,445,1594.000000000,12358.543859200,644,6.69,9775
2025-05-03,HFB03,5161,445,03,Workspaces,2025-05-03,445,269.000000000,12229.211276800,137,2.54,9775
2025-05-03,HFB12,7419,445,12,Home textiles,2025-05-03,445,2905.000000000,25902.126633600,755,2.7,9775
2025-05-03,HFB02,6124,445,02,Store and organise furniture,2025-05-03,445,1243.000000000,28652.483036800,285,4.79,9775
2025-05-03,HFB01,6229,445,01,Living room seating,2025-05-03,445,241.000000000,17846.585568000,136,6.56,9775
2025-05-03,HFB18,7935,445,18,Home organisation,2025-05-03,445,6904.000000000,20841.479590400,2066,3.63,9775
2025-05-03,HFB07,5479,445,07,Kitchen,2025-05-03,445,1503.940000000,31247.085070320,381,7.08,9775
2025-05-03,HFB10,7983,445,10,Lighting & Home electronics,2025-05-03,445,2594.000000000,23855.715242240,829,3.26,9775
2025-05-03,HFB16,5426,445,16,Decoration,2025-05-03,445,5058.000000000,25389.456937600,1499,4.43,9775
2025-05-03,HFB15,6298,445,15,Eating,2025-05-03,445,6056.000000000,15668.321939200,1197,1.85,9775
2025-05-03,HFB05,5394,445,05,Beds & Mattresses,2025-05-03,445,330.000000000,28870.877414400,153,4.64,9775
2025-05-03,HFB11,7761,445,11,Bed and bath textiles,2025-05-03,445,3003.000000000,32321.785305600,1000,2.57,9775
