Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,S00T13,14,1771,7653.09,7653.09,0.046064
274 - IKEA Barendrecht,S04L13,23,551,7272.72,7272.72,0.043775
274 - IKEA Barendrecht,M00S09,13,1276,6088.44,6088.44,0.036646
274 - IKEA Barendrecht,KASSDE,12,1008,5629.92,5629.92,0.033887
274 - IKEA Barendrecht,S04F14,9,252,5397.48,5397.48,0.032487
274 - IKEA Barendrecht,AOSKH1,21,604,5324.84,5324.84,0.03205
274 - IKEA Barendrecht,S04J14,5,248,4464,4464,0.026869
274 - IKEA Barendrecht,S07H24,5,1200,3948,3948,0.023763
274 - IKEA Barendrecht,M00U08,7,1590,3754.1,3754.1,0.022596
274 - IKEA Barendrecht,S04I13,10,1050,3734.5,3734.5,0.022478
274 - IKEA Barendrecht,KASP06,5,2504,3348,3348,0.020152
274 - IKEA Barendrecht,S00Y14,8,514,3214.86,3214.86,0.01935
274 - IKEA Barendrecht,000200,3,486,2977.14,2977.14,0.017919
274 - IKEA Barendrecht,S07F21,10,233,2743.67,2743.67,0.016514
274 - IKEA Barendrecht,S02N19,4,888,2303.28,2303.28,0.013863
274 - IKEA Barendrecht,S02K20,5,260,2232.4,2232.4,0.013437
274 - IKEA Barendrecht,M00U07,4,1080,2228.4,2228.4,0.013413
274 - IKEA Barendrecht,OTST02,13,1312,2204.88,2204.88,0.013271
274 - IKEA Barendrecht,S09Q07,8,681,2159,2159,0.012995
274 - IKEA Barendrecht,S01R20,5,588,1974.12,1974.12,0.011882
274 - IKEA Barendrecht,M00S06,5,746,1927.34,1927.34,0.011601
274 - IKEA Barendrecht,KASP11,2,1440,1905.6,1905.6,0.01147
274 - IKEA Barendrecht,S08B16,14,805,1809.95,1809.95,0.010894
274 - IKEA Barendrecht,S04K10,3,362,1806.38,1806.38,0.010873
274 - IKEA Barendrecht,S08B15,5,142,1776.58,1776.58,0.010693
274 - IKEA Barendrecht,S09N08,4,98,1761.02,1761.02,0.0106
274 - IKEA Barendrecht,S02I20,4,409,1690.91,1690.91,0.010178
274 - IKEA Barendrecht,S07B25,7,246,1664.54,1664.54,0.010019
274 - IKEA Barendrecht,S92R13,16,348,1591.32,1591.32,0.009578
274 - IKEA Barendrecht,LAUNCH,17,326,1559.24,1559.24,0.009385
274 - IKEA Barendrecht,S96Q05,10,590,1519.1,1519.1,0.009143
274 - IKEA Barendrecht,OTST03,3,1520,1504.8,1504.8,0.009057
274 - IKEA Barendrecht,S04D08,9,48,1475.52,1475.52,0.008881
274 - IKEA Barendrecht,KASSAG,7,790,1400.1,1400.1,0.008427
274 - IKEA Barendrecht,S07F19,13,314,1346.86,1346.86,0.008107
274 - IKEA Barendrecht,S07F25,7,269,1314.31,1314.31,0.007911
274 - IKEA Barendrecht,S01U20,9,480,1231.7,1231.7,0.007414
274 - IKEA Barendrecht,M12O19,7,111,1208.89,1208.89,0.007276
274 - IKEA Barendrecht,240000,1,120,1198.8,1198.8,0.007216
274 - IKEA Barendrecht,S07H21,3,396,1184.04,1184.04,0.007127
274 - IKEA Barendrecht,S03MW1,6,231,1175.69,1175.69,0.007076
274 - IKEA Barendrecht,S96Q04,11,264,1170.84,1170.84,0.007047
274 - IKEA Barendrecht,M00S07,3,748,1163.52,1163.52,0.007003
274 - IKEA Barendrecht,000100,2,220,1145.8,1145.8,0.006897
274 - IKEA Barendrecht,S04J13,3,105,1124.7,1124.7,0.00677
274 - IKEA Barendrecht,S00V14,9,110,1081.9,1081.9,0.006512
274 - IKEA Barendrecht,S01Q25,6,353,1049.67,1049.67,0.006318
274 - IKEA Barendrecht,S04B14,1,128,1022.72,1022.72,0.006156
274 - IKEA Barendrecht,S04B09,10,40,1021.6,1021.6,0.006149
274 - IKEA Barendrecht,S01MW1,6,204,1019.32,1019.32,0.006135
274 - IKEA Barendrecht,S01Q26,1,504,1002.96,1002.96,0.006037
274 - IKEA Barendrecht,S04I12,7,205,996.95,996.95,0.006001
274 - IKEA Barendrecht,S08A18,2,530,919.7,919.7,0.005536
274 - IKEA Barendrecht,S08E16,19,98,897.02,897.02,0.005399
274 - IKEA Barendrecht,S08F16,5,135,841.55,841.55,0.005065
274 - IKEA Barendrecht,S07D25,6,442,809.58,809.58,0.004873
274 - IKEA Barendrecht,M11VM1,5,105,790.95,790.95,0.004761
274 - IKEA Barendrecht,S02L20,3,121,768.79,768.79,0.004627
274 - IKEA Barendrecht,S07H20,2,225,762.75,762.75,0.004591
274 - IKEA Barendrecht,TRAPTW,9,104,752.56,752.56,0.00453
274 - IKEA Barendrecht,S07G25,7,167,722.33,722.33,0.004348
274 - IKEA Barendrecht,S03L24,5,85,719.15,719.15,0.004329
274 - IKEA Barendrecht,S02I16,1,70,699.3,699.3,0.004209
274 - IKEA Barendrecht,S07F20,7,114,679.86,679.86,0.004092
274 - IKEA Barendrecht,S09O08,6,71,661.73,661.73,0.003983
274 - IKEA Barendrecht,S04B11,3,110,648.9,648.9,0.003906
274 - IKEA Barendrecht,S04F12,1,36,647.64,647.64,0.003898
274 - IKEA Barendrecht,300000,1,128,638.72,638.72,0.003844
274 - IKEA Barendrecht,KASP10,1,128,638.72,638.72,0.003844
274 - IKEA Barendrecht,S08E17,10,210,603.9,603.9,0.003635
274 - IKEA Barendrecht,KASSAC,1,120,598.8,598.8,0.003604
274 - IKEA Barendrecht,ENTREE,3,210,597.9,597.9,0.003599
274 - IKEA Barendrecht,S07E24,4,116,591.84,591.84,0.003562
274 - IKEA Barendrecht,S04K11,1,116,578.84,578.84,0.003484
274 - IKEA Barendrecht,OTST01,6,335,571.65,571.65,0.003441
274 - IKEA Barendrecht,S04H10,6,39,560.61,560.61,0.003374
274 - IKEA Barendrecht,S04K07,3,135,538.65,538.65,0.003242
274 - IKEA Barendrecht,S02N16,4,76,527.24,527.24,0.003173
274 - IKEA Barendrecht,S07G23,4,105,523.95,523.95,0.003154
274 - IKEA Barendrecht,KASS09,1,400,516,516,0.003106
274 - IKEA Barendrecht,S08A16,5,112,502.88,502.88,0.003027
274 - IKEA Barendrecht,S96T09,1,100,499,499,0.003003
274 - IKEA Barendrecht,S02P16,5,300,489,489,0.002943
274 - IKEA Barendrecht,S04G08,5,38,481.62,481.62,0.002899
274 - IKEA Barendrecht,S04L08,2,555,463.95,463.95,0.002793
274 - IKEA Barendrecht,S04L10,2,65,454.35,454.35,0.002735
274 - IKEA Barendrecht,S07G19,3,58,453.42,453.42,0.002729
274 - IKEA Barendrecht,S02P17,3,393,439.97,439.97,0.002648
274 - IKEA Barendrecht,S04E09,6,25,432.75,432.75,0.002605
274 - IKEA Barendrecht,S09Q09,1,108,432,432,0.0026
274 - IKEA Barendrecht,S04K13,6,330,431.7,431.7,0.002598
274 - IKEA Barendrecht,S04H09,3,61,426.39,426.39,0.002566
274 - IKEA Barendrecht,S04C08,5,17,413.83,413.83,0.002491
274 - IKEA Barendrecht,S01O25,2,70,399.3,399.3,0.002403
274 - IKEA Barendrecht,S00Y13,1,100,399,399,0.002402
274 - IKEA Barendrecht,S01R26,1,33,395.67,395.67,0.002382
274 - IKEA Barendrecht,S04D09,2,19,364.81,364.81,0.002196
274 - IKEA Barendrecht,S07MW1,10,183,364.17,364.17,0.002192
274 - IKEA Barendrecht,S08G18,2,28,363.72,363.72,0.002189
274 - IKEA Barendrecht,S07G22,4,27,350.73,350.73,0.002111
274 - IKEA Barendrecht,200000,2,14,349.86,349.86,0.002106
274 - IKEA Barendrecht,S01Q21,5,39,349.61,349.61,0.002104
274 - IKEA Barendrecht,S00T12,4,22,341.78,341.78,0.002057
274 - IKEA Barendrecht,M15VM3,2,24,339.76,339.76,0.002045
274 - IKEA Barendrecht,S04J07,3,182,338.68,338.68,0.002039
274 - IKEA Barendrecht,S03K24,1,26,337.74,337.74,0.002033
274 - IKEA Barendrecht,S08B18,4,84,326.16,326.16,0.001963
274 - IKEA Barendrecht,S02M20,2,65,324.35,324.35,0.001952
274 - IKEA Barendrecht,S07B23,4,64,319.36,319.36,0.001922
274 - IKEA Barendrecht,S00S13,1,30,299.7,299.7,0.001804
274 - IKEA Barendrecht,S01U17,1,30,299.7,299.7,0.001804
274 - IKEA Barendrecht,M18K05,4,46,295.54,295.54,0.001779
274 - IKEA Barendrecht,KASP13,1,56,279.44,279.44,0.001682
274 - IKEA Barendrecht,S01R19,3,70,279.3,279.3,0.001681
274 - IKEA Barendrecht,S03J24,2,70,279.3,279.3,0.001681
274 - IKEA Barendrecht,S04VM1,3,11,269.89,269.89,0.001624
274 - IKEA Barendrecht,S09O12,1,15,269.85,269.85,0.001624
274 - IKEA Barendrecht,S01U22,5,60,269.4,269.4,0.001622
274 - IKEA Barendrecht,S08B17,5,52,255.48,255.48,0.001538
274 - IKEA Barendrecht,S04D13,1,10,249.9,249.9,0.001504
274 - IKEA Barendrecht,S04H14,1,50,249.5,249.5,0.001502
274 - IKEA Barendrecht,S01T25,10,35,245.65,245.65,0.001479
274 - IKEA Barendrecht,S07E19,12,245,242.55,242.55,0.00146
274 - IKEA Barendrecht,S96Q06,7,172,241.28,241.28,0.001452
274 - IKEA Barendrecht,S04J09,1,24,239.76,239.76,0.001443
274 - IKEA Barendrecht,S01P23,7,46,231.54,231.54,0.001394
274 - IKEA Barendrecht,S02J17,3,70,229.8,229.8,0.001383
274 - IKEA Barendrecht,M13CM1,3,60,219.4,219.4,0.001321
274 - IKEA Barendrecht,S08D16,8,46,217.14,217.14,0.001307
274 - IKEA Barendrecht,M18VM5,4,86,214.64,214.64,0.001292
274 - IKEA Barendrecht,S08G17,3,70,209.3,209.3,0.00126
274 - IKEA Barendrecht,S03N24,2,20,200,200,0.001204
274 - IKEA Barendrecht,070010,2,50,199.5,199.5,0.001201
274 - IKEA Barendrecht,M11CM1,2,50,199.5,199.5,0.001201
274 - IKEA Barendrecht,S07B19,2,205,197.95,197.95,0.001191
274 - IKEA Barendrecht,S04G09,2,23,193.77,193.77,0.001166
274 - IKEA Barendrecht,S04D11,2,13,191.87,191.87,0.001155
274 - IKEA Barendrecht,S04C07,3,14,189.86,189.86,0.001143
274 - IKEA Barendrecht,S96R05,3,109,184.91,184.91,0.001113
274 - IKEA Barendrecht,S04C10,2,12,180.88,180.88,0.001089
274 - IKEA Barendrecht,S04E08,4,21,176.79,176.79,0.001064
274 - IKEA Barendrecht,S02J20,1,35,174.65,174.65,0.001051
274 - IKEA Barendrecht,S08H15,4,29,173.71,173.71,0.001046
274 - IKEA Barendrecht,S02K19,5,66,164.34,164.34,0.000989
