Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,S04F14,40,1052,18721.48,18721.48,0.046247
274 - IKEA Barendrecht,M00S09,30,4144,17481.44,17481.44,0.043184
274 - IKEA Barendrecht,M00U07,23,7632,15979.68,15979.68,0.039474
274 - IKEA Barendrecht,S04L13,50,996,13919.74,13919.74,0.034386
274 - IKEA Barendrecht,S00T13,20,4368,13113.12,13113.12,0.032393
274 - IKEA Barendrecht,M00T09,4,3080,10749.2,10749.2,0.026553
274 - IKEA Barendrecht,S04I13,25,2568,10583.32,10583.32,0.026144
274 - IKEA Barendrecht,M00U09,13,5053,10165.47,10165.47,0.025111
274 - IKEA Barendrecht,M00S06,18,3421,8538.59,8538.59,0.021093
274 - IKEA Barendrecht,M00U08,17,3755,7802.61,7802.61,0.019275
274 - IKEA Barendrecht,S04J13,18,600,6400.64,6400.64,0.015811
274 - IKEA Barendrecht,S04L14,18,693,5945.03,5945.03,0.014686
274 - IKEA Barendrecht,S07H24,6,1800,5922,5922,0.014629
274 - IKEA Barendrecht,KASP08,9,1159,5898.41,5898.41,0.014571
274 - IKEA Barendrecht,S04D09,43,199,5260.01,5260.01,0.012994
274 - IKEA Barendrecht,S07F21,41,703,4942.97,4942.97,0.01221
274 - IKEA Barendrecht,S07H20,6,1317,4805.83,4805.83,0.011872
274 - IKEA Barendrecht,S03L24,8,330,4796.7,4796.7,0.011849
274 - IKEA Barendrecht,S04K10,10,759,4447.41,4447.41,0.010986
274 - IKEA Barendrecht,000400,14,921,4389.79,4389.79,0.010844
274 - IKEA Barendrecht,AOSKH1,33,1070,4372.5,4372.5,0.010801
274 - IKEA Barendrecht,KASP05,4,1176,4280.64,4280.64,0.010574
274 - IKEA Barendrecht,TRAPTW,25,648,4091.52,4091.52,0.010107
274 - IKEA Barendrecht,S03M23,12,949,4086.01,4086.01,0.010094
274 - IKEA Barendrecht,S07F25,18,902,4006.98,4006.98,0.009898
274 - IKEA Barendrecht,S92R13,32,939,3802.71,3802.71,0.009394
274 - IKEA Barendrecht,S04D08,28,121,3752.79,3752.79,0.00927
274 - IKEA Barendrecht,KASP06,10,1952,3730.72,3730.72,0.009216
274 - IKEA Barendrecht,S02J20,5,826,3628.94,3628.94,0.008964
274 - IKEA Barendrecht,S04K11,7,726,3622.74,3622.74,0.008949
274 - IKEA Barendrecht,S02J17,21,513,3614.11,3614.11,0.008928
274 - IKEA Barendrecht,S02L20,7,555,3369.45,3369.45,0.008323
